Leeftijd	Lengte	L	M	S
0 - 16	161	-1,6921	51,68	0,1471
0 - 16	162	-1,6995	52,54	0,148
0 - 16	163	-1,707	53,41	0,1489
0 - 16	164	-1,7144	54,27	0,1498
0 - 16	165	-1,7219	55,13	0,1507
0 - 16	166	-1,733	56,01	0,1515
0 - 16	167	-1,7441	56,89	0,1524
0 - 16	168	-1,7553	57,77	0,1533
0 - 16	169	-1,7664	58,64	0,1542
0 - 16	170	-1,7775	59,52	0,155
0 - 16	171	-1,7914	60,4	0,1559
0 - 16	172	-1,8053	61,29	0,1568
0 - 16	173	-1,8191	62,17	0,1577
0 - 16	174	-1,833	63,06	0,1585
0 - 16	175	-1,8469	63,94	0,1594
0 - 16	176	-1,8622	64,82	0,1603
0 - 16	177	-1,8775	65,71	0,1611
0 - 16	178	-1,8928	66,59	0,162
0 - 16	179	-1,9082	67,48	0,1629
0 - 16	180	-1,9235	68,36	0,1637
