168	-0.6421	49.9532	0.1744
169	-0.6408	50.2393	0.1741
170	-0.6393	50.5173	0.1739
171	-0.6376	50.7869	0.1736
172	-0.6358	51.048	0.1734
173	-0.6339	51.3005	0.1731
174	-0.6318	51.5438	0.1729
175	-0.6296	51.7779	0.1727
176	-0.6272	52.0033	0.1724
177	-0.6247	52.2202	0.1722
178	-0.622	52.4291	0.172
179	-0.6193	52.6306	0.1717
180	-0.6164	52.8255	0.1715
181	-0.6134	53.0141	0.1713
182	-0.6102	53.1962	0.1711
183	-0.607	53.3717	0.1709
184	-0.6037	53.5405	0.1707
185	-0.6002	53.7028	0.1705
186	-0.5966	53.8587	0.1703
187	-0.5929	54.0085	0.1701
188	-0.5891	54.1526	0.1699
189	-0.5852	54.2914	0.1697
190	-0.5811	54.4252	0.1695
191	-0.5769	54.5543	0.1693
192	-0.5727	54.679	0.1691
193	-0.5683	54.799	0.169
194	-0.5637	54.9144	0.1688
195	-0.5591	55.0254	0.1686
196	-0.5544	55.1318	0.1685
197	-0.5496	55.2335	0.1683
198	-0.5448	55.3304	0.1682
199	-0.5398	55.4224	0.168
200	-0.5347	55.5099	0.1678
201	-0.5296	55.593	0.1677
202	-0.5244	55.672	0.1675
203	-0.5192	55.7469	0.1674
204	-0.514	55.8182	0.1672
205	-0.5088	55.8862	0.1671
206	-0.5037	55.9515	0.167
207	-0.4986	56.0144	0.1668
208	-0.4936	56.0755	0.1667
209	-0.4887	56.135	0.1665
210	-0.4839	56.1932	0.1664
211	-0.4792	56.2502	0.1663
212	-0.4745	56.3058	0.1662
213	-0.47	56.3603	0.166
214	-0.4656	56.4139	0.1659
215	-0.4612	56.4669	0.1658
216	-0.4569	56.5193	0.1657
217	-0.4527	56.5711	0.1656
218	-0.4485	56.6226	0.1654
219	-0.4443	56.6742	0.1653
220	-0.4402	56.7266	0.1652
221	-0.4361	56.7799	0.1651
222	-0.4321	56.8344	0.165
223	-0.428	56.8898	0.1649
224	-0.424	56.9461	0.1648
225	-0.42	57.0031	0.1647
226	-0.416	57.0606	0.1646
227	-0.412	57.1185	0.1645
228	-0.408	57.1765	0.1644
